Effector;Protein;Shortest_Path;Shared_Connections;Pathways_Shared;Is_Connected;Interaction_Score
NleO;Cdc42;1;1;0;True;0.271429
NleO;Rac1;1;1;0;True;0.271429
NleB;Trafd1;1;1;0;True;0.271429
NleB;Traf7;1;1;0;True;0.271429
NleB;Traf3ip3;1;1;0;True;0.271429
NleB;Traf3ip1;1;1;0;True;0.271429
EscF;Naip2;1;1;0;True;0.271429
EscF;Naip1;1;1;0;True;0.271429
EscF;Naip6;1;1;0;True;0.271429
EscF;Naip7;1;1;0;True;0.271429
EscF;Naip5;1;1;0;True;0.271429
EspG;Arf1;1;1;0;True;0.271429
EspG;Rab11a;1;1;0;True;0.271429
EspG;Rab11fip1;1;1;0;True;0.271429
EspG;Rab1A;1;1;0;True;0.271429
EspG;Rab1b;1;1;0;True;0.271429
EspG;Rab11fip2;1;1;0;True;0.271429
EspG;Rab11fip5;1;1;0;True;0.271429
EspG;Pak1;1;1;0;True;0.271429
EspG;Rab11b;1;1;0;True;0.271429
EspG;Rab11fip3;1;1;0;True;0.271429
pORF8;Naip2;1;1;0;True;0.271429
pORF8;Naip1;1;1;0;True;0.271429
pORF8;Naip6;1;1;0;True;0.271429
pORF8;Naip7;1;1;0;True;0.271429
pORF8;Naip5;1;1;0;True;0.271429
Tir;Traf1;1;1;0;True;0.271429
Tir;Traf5;1;1;0;True;0.271429
Tir;Tln1;1;1;0;True;0.271429
Tir;Traf3ip2;1;1;0;True;0.271429
Tir;Traf2;1;1;0;True;0.271429
Tir;Traf3;1;1;0;True;0.271429
NleL;Mapk9;1;1;0;True;0.271429
NleL;Mapk6;1;1;0;True;0.271429
NleL;Mapk8ip2;1;1;0;True;0.271429
NleL;Mapk10;1;1;0;True;0.271429
NleL;Mapkapk5;1;1;0;True;0.271429
NleC;Ep300;1;0;0;True;0.25
NleC;Rela;1;0;0;True;0.25
NleK;Hnrnpm;1;0;0;True;0.25
EspT;Rhog;1;0;0;True;0.25
EspT;Rhob;1;0;0;True;0.25
EspT;Rhoh;1;0;0;True;0.25
EspT;Rhod;1;0;0;True;0.25
LPS;Tlr2;1;0;0;True;0.25
LPS;Casp4;1;0;0;True;0.25
Map;Rhog;1;0;0;True;0.25
Map;Rhob;1;0;0;True;0.25
Map;Rhoh;1;0;0;True;0.25
NleD;Mapk1ip1l;1;0;0;True;0.25
NleD;Mapk1ip1;1;0;0;True;0.25
EspS;Triap1;1;0;0;True;0.25
EspZ;Slc3a2;1;0;0;True;0.25
EspZ;Casp9;1;0;0;True;0.25
NleA;Sec24;1;0;0;True;0.25
NleA;Il18;1;0;0;True;0.25
EspO;Lcn2;1;0;0;True;0.25
EspO;Ilk;1;0;0;True;0.25
NleF;Il18;1;0;0;True;0.25
NleE;Zranb3;1;0;0;True;0.25
NleE;Tab3;1;0;0;True;0.25
NleE;Tab2;1;0;0;True;0.25
NleE;Tab1;1;0;0;True;0.25
EspG;Rab10;1;0;0;True;0.25
EspG;Rab14;1;0;0;True;0.25
EspG;Rab12;1;0;0;True;0.25
EspG;Pak6;1;0;0;True;0.25
EspG;Pak2;1;0;0;True;0.25
EspG;Arf5;1;0;0;True;0.25
EspG;Rab15;1;0;0;True;0.25
EspG;Rab19;1;0;0;True;0.25
EspG;Pak5;1;0;0;True;0.25
EspG;Pak1ip1;1;0;0;True;0.25
EspG;Rab17;1;0;0;True;0.25
EspG;Rab18;1;0;0;True;0.25
EspF;Snx9;1;0;0;True;0.25
EspF;Abcf2;1;0;0;True;0.25
Tir;Krt18;1;0;0;True;0.25
Tir;Baiap2l1;1;0;0;True;0.25
Tir;Trafd1;1;0;0;True;0.25
Tir;Traf7;1;0;0;True;0.25
Tir;Traf3ip3;1;0;0;True;0.25
Tir;Cttn;1;0;0;True;0.25
Tir;Traf3ip1;1;0;0;True;0.25
Tir;Traf4;1;0;0;True;0.25
Tir;Ywhaq;1;0;0;True;0.25
Tir;Baiap2;1;0;0;True;0.25
NleL;Mapk7;1;0;0;True;0.25
NleL;Mapk15;1;0;0;True;0.25
NleL;Mapk4;1;0;0;True;0.25
NleL;Mapkap1;1;0;0;True;0.25
NleL;Mapk1ip1l;1;0;0;True;0.25
NleL;Mapk8ip1;1;0;0;True;0.25
NleL;Mapkbp1;1;0;0;True;0.25
NleL;Mapk8ip3;1;0;0;True;0.25
NleL;Mapk1ip1;1;0;0;True;0.25
NleD;Map3k7;2;21;1;False;0.725
NleD;Il6;2;21;1;False;0.725
NleD;Jun;2;21;1;False;0.725
NleD;Ccl8;2;21;0;False;0.65
NleD;Ccl28;2;21;0;False;0.65
NleD;Tab3;2;21;0;False;0.65
NleD;Cxcl5;2;21;0;False;0.65
NleD;Il16;2;21;0;False;0.65
NleD;Tab2;2;21;0;False;0.65
NleD;Cxcl1;2;21;0;False;0.65
NleD;Cxcl9;2;21;0;False;0.65
NleD;Tab1;2;21;0;False;0.65
NleD;Ccl6;2;21;0;False;0.65
NleL;Ccl8;2;21;0;False;0.65
NleL;Ccl28;2;21;0;False;0.65
NleL;Tab3;2;21;0;False;0.65
NleL;Cxcl5;2;21;0;False;0.65
NleL;Map3k7;2;21;0;False;0.65
NleL;Il16;2;21;0;False;0.65
NleL;Il6;2;21;0;False;0.65
NleL;Tab2;2;21;0;False;0.65
NleL;Cxcl1;2;21;0;False;0.65
NleL;Cxcl9;2;21;0;False;0.65
NleL;Tab1;2;21;0;False;0.65
NleL;Ccl6;2;21;0;False;0.65
NleL;Jun;2;21;0;False;0.65
NleB;Myd88;2;13;2;False;0.628571
NleB;Il1b;2;4;4;False;0.585714
EspF;Rac2;2;1;4;False;0.521429
EspF;Pik3ca;2;1;4;False;0.521429
NleB;Ikbkb;2;4;3;False;0.510714
NleB;Il6;2;4;3;False;0.510714
NleB;Ikbkg;2;10;1;False;0.489286
NleB;Casp4;2;3;3;False;0.489286
NleE;Ikbkb;2;6;2;False;0.478571
NleB;Casp6;2;2;3;False;0.467857
NleB;Map3k7;2;2;3;False;0.467857
NleB;Mapk9;2;2;3;False;0.467857
NleB;Tnfrsf1a;2;2;3;False;0.467857
